#time,Andrea:member_47,Tony:member_48,Freddie:member_1057,Betty:member_1067,
20053442,55,55,56,56,
20053443,55,55,56,56,
20053444,55,55,56,56,
20053445,55,55,56,56,
20053446,55,55,56,56,
20053447,55,55,56,56,
20053448,55,55,56,56,
20053449,55,55,56,56,
20053450,55,55,56,56,
20053451,55,55,56,56,
20053452,55,55,56,56,
20053453,55,55,56,56,
20053454,55,55,56,56,
20053455,55,55,56,56,
20053456,55,55,56,56,
20053457,55,55,56,56,
20053458,55,55,56,56,
20053459,55,55,56,56,
20053460,55,55,56,56,
20053461,55,55,56,56,
20053462,55,55,56,56,
20053463,55,55,56,56,
20053464,55,55,56,56,
20053465,55,55,56,56,
20053466,55,55,56,56,
20053467,55,55,56,56,
20053468,55,55,56,56,
20053469,55,55,56,56,
20053470,55,55,56,56,
20053471,55,55,56,56,
20053472,55,55,56,56,
20053473,55,55,56,56,
20053474,55,55,56,56,
20053475,55,55,56,56,
20053476,55,55,56,56,
20053477,55,55,56,56,
20053478,55,55,56,56,
20053479,55,55,56,56,
20053480,55,55,56,56,
20053481,55,55,56,56,
20053482,55,55,56,56,
20053483,55,55,56,56,
20053484,55,55,56,56,
20053485,55,55,56,56,
20053486,55,55,56,56,
20053487,55,55,56,56,
20053488,55,55,56,56,
20053489,55,55,56,56,
20053490,55,55,56,56,
20053491,55,55,56,56,
20053492,55,55,56,56,
20053493,55,55,56,259,
20053494,55,55,56,259,
20053495,55,55,56,259,
20053496,55,55,56,259,
20053497,55,55,56,56,
20053498,55,55,56,56,
20053499,55,55,56,56,
20053500,55,55,56,56,
20053501,55,55,56,56,
20053502,55,55,56,56,
20053503,55,55,56,56,
20053504,55,55,56,56,
20053505,55,55,56,56,
20053506,55,55,56,56,
20053507,55,55,56,56,
20053508,55,55,56,56,
20053509,55,55,56,56,
20053510,55,55,56,56,
20053511,55,55,56,56,
20053512,55,55,56,56,
20053513,55,55,56,56,
20053514,55,55,56,56,
20053515,55,55,56,56,
20053516,55,55,56,56,
20053517,55,55,56,56,
20053518,55,55,56,56,
20053519,55,55,56,56,
20053520,55,55,56,56,
20053521,55,55,56,56,
20053522,55,55,56,56,
20053523,55,55,56,56,
20053524,55,55,56,56,
20053525,55,55,56,56,
20053526,55,55,56,56,
20053527,55,55,56,56,
20053528,55,55,56,56,
20053529,55,55,56,56,
20053530,55,55,56,56,
20053531,55,55,56,56,
20053532,55,55,56,56,
20053533,55,55,56,56,
20053534,55,55,56,56,
20053535,55,55,56,56,
20053536,55,55,56,56,
20053537,55,55,56,56,
20053538,55,55,56,56,
20053539,55,55,56,56,
20053540,55,55,56,56,
20053541,55,55,56,56,
20053542,55,55,56,56,
20053543,55,55,56,56,
20053544,55,55,56,56,
20053545,55,55,56,56,
20053546,55,55,56,56,
20053547,55,55,56,56,
20053548,55,55,56,56,
20053549,55,55,56,56,
20053550,55,55,56,56,
20053551,55,55,56,56,
20053552,55,55,56,56,
20053553,55,55,56,56,
20053554,55,55,56,56,
20053555,55,55,56,56,
20053556,55,55,56,56,
20053557,55,55,56,56,
20053558,55,55,56,56,
20053559,55,55,56,56,
20053560,55,55,56,56,
20053561,55,55,56,56,
20053562,55,55,56,56,
20053563,55,55,56,56,
20053564,55,55,56,56,
20053565,55,55,56,56,
20053566,55,55,56,56,
20053567,55,55,56,56,
20053568,55,55,56,56,
20053569,55,55,56,56,
20053570,55,55,56,56,
20053571,55,55,56,56,
20053572,55,55,56,56,
20053573,55,55,56,56,
20053574,55,55,56,56,
20053575,55,55,56,56,
20053576,55,55,56,56,
20053577,55,55,56,56,
20053578,55,55,56,56,
20053579,55,55,56,56,
20053580,55,55,56,56,
20053581,55,55,56,56,
20053582,55,55,56,56,
20053583,55,55,56,56,
20053584,55,55,56,56,
20053585,55,55,56,56,
20053586,55,55,56,56,
