Time	Energy 	Sigma 	Initial_temperature 	Density_of_water 	Depth_of_mixed_layer 	Specific_heat_of_water 	Heat_capacity 	Temperature 	Seconds_per_year 	Solar_constant 	Albedo 	Solar 	IR 	T_Celsius 	
Years	Stock 	Converter 	Converter 	Converter 	Converter 	Converter 	Converter 	Converter 	Converter 	Converter 	Converter 	Flow 	Flow 	Converter 	
0 	 10 	 0.1
7 	53812015328.427 	5.6696e-008 	273.15 	1000 	50 	4218 	210900000 	255.15417415091 	31536000 	1367 	0.3 	7544199600 	7578264107.6163 	-17.995825849089
7.1 	53808608877.665 	5.6696e-008 	273.15 	1000 	50 	4218 	210900000 	255.13802217954 	31536000 	1367 	0.3 	7544199600 	7576345388.7394 	-18.011977820458
7.2 	53805394298.791 	5.6696e-008 	273.15 	1000 	50 	4218 	210900000 	255.12277998479 	31536000 	1367 	0.3 	7544199600 	7574535077.8648 	-18.027220015213
7.3 	53802360751.005 	5.6696e-008 	273.15 	1000 	50 	4218 	210900000 	255.10839616408 	31536000 	1367 	0.3 	7544199600 	7572827013.3656 	-18.041603835917
7.4 	53799498009.668 	5.6696e-008 	273.15 	1000 	50 	4218 	210900000 	255.09482223646 	31536000 	1367 	0.3 	7544199600 	7571215387.8219 	-18.055177763544
7.5 	53796796430.886 	5.6696e-008 	273.15 	1000 	50 	4218 	210900000 	255.08201247457 	31536000 	1367 	0.3 	7544199600 	7569694727.2232 	-18.067987525433
7.6 	53794246918.164 	5.6696e-008 	273.15 	1000 	50 	4218 	210900000 	255.06992374663 	31536000 	1367 	0.3 	7544199600 	7568259871.4386 	-18.080076253371
7.7 	53791840891.02 	5.6696e-008 	273.15 	1000 	50 	4218 	210900000 	255.05851536757 	31536000 	1367 	0.3 	7544199600 	7566905955.8736 	-18.091484632432
7.8 	53789570255.433 	5.6696e-008 	273.15 	1000 	50 	4218 	210900000 	255.0477489589 	31536000 	1367 	0.3 	7544199600 	7565628394.2361 	-18.102251041097
7.9 	53787427376.009 	5.6696e-008 	273.15 	1000 	50 	4218 	210900000 	255.03758831678 	31536000 	1367 	0.3 	7544199600 	7564422862.3412 	-18.112411683219
8 	53785405049.775 	5.6696e-008 	273.15 	1000 	50 	4218 	210900000 	255.0279992877 	31536000 	1367 	0.3 	7544199600 	7563285282.8873 	-18.122000712304
8.1 	53783496481.486 	5.6696e-008 	273.15 	1000 	50 	4218 	210900000 	255.01894965143 	31536000 	1367 	0.3 	7544199600 	7562211811.1441 	-18.131050348571
8.2 	53781695260.372 	5.6696e-008 	273.15 	1000 	50 	4218 	210900000 	255.01040901077 	31536000 	1367 	0.3 	7544199600 	7561198821.493 	-18.139590989228
8.3 	53779995338.223 	5.6696e-008 	273.15 	1000 	50 	4218 	210900000 	255.00234868764 	31536000 	1367 	0.3 	7544199600 	7560242894.7675 	-18.147651312363
8.4 	53778391008.746 	5.6696e-008 	273.15 	1000 	50 	4218 	210900000 	254.99474162516 	31536000 	1367 	0.3 	7544199600 	7559340806.3444 	-18.155258374842
8.5 	53776876888.111 	5.6696e-008 	273.15 	1000 	50 	4218 	210900000 	254.98756229545 	31536000 	1367 	0.3 	7544199600 	7558489514.9382 	-18.162437704545
8.6 	53775447896.618 	5.6696e-008 	273.15 	1000 	50 	4218 	210900000 	254.9807866127 	31536000 	1367 	0.3 	7544199600 	7557686152.0552 	-18.169213387304
8.7 	53774099241.412 	5.6696e-008 	273.15 	1000 	50 	4218 	210900000 	254.97439185117 	31536000 	1367 	0.3 	7544199600 	7556928012.0686 	-18.175608148829
8.8 	53772826400.205 	5.6696e-008 	273.15 	1000 	50 	4218 	210900000 	254.96835656807 	31536000 	1367 	0.3 	7544199600 	7556212542.8747 	-18.181643431934
